"precov","essl","comb.1","comb.2"
199,5.5,34.49,13.23
198.99,4.37,28.15,11.68
199,3.56,32.73,9.77
198.96,3.97,31.25,11
198.99,3.6,28.74,9.89
198.99,4.02,35.56,11.95
198.98,4.95,33.63,11.73
198.99,4.46,34.3,12.68
198.97,5.7,35.66,13.69
198.99,4.06,32.93,10.63
199,4.19,28.82,10.75
198.97,6.04,33.88,14.14
198.99,4.06,37.94,10.87
198.99,3.4,34.31,10.47
198.99,5.97,35.91,14.34
198.97,2.34,29.03,7.87
199,5.39,35.72,12.43
198.98,4.98,31.24,11.22
199,2.82,27.38,8.56
198.99,3.16,26.12,9.37
198.99,2.8,32.75,8.57
199,4.68,30.94,11.37
198.89,3.86,30.64,10.6
198.99,5.01,35.68,12.34
199,3.38,26.52,9.49
198.96,3.76,28.66,10.67
199,4.65,33.77,11.48
198.99,3.58,32.8,9.76
198.98,3.79,33.7,10.35
198.98,4.03,34.78,11.66
199,5.14,32.12,13.75
198.99,5.92,29.15,13.81
199,5.25,31.36,13.23
198.97,5.1,37.58,11.82
198.98,8.2,37.44,16.93
199,5.18,37.58,13.73
199,7.79,38.09,17.31
199,4.34,41.04,11.86
199,5.29,36.64,12.61
198.98,2.33,32.46,7.21
198.99,5.05,37.96,12.67
199,3.27,26.61,9.41
199,3.09,28.41,9.46
199,5.15,29.18,13.06
198.96,5.07,36.69,13.13
199,4.55,30.15,11.67
198.98,3.91,30.09,10.46
198.95,4.26,33.67,10.92
198.98,4.07,35.16,11.3
199,4.24,35.97,11.03
198.98,6.43,41.77,14.79
199,3.42,32.56,10.06
198.99,4.61,27.49,11.73
199,5.72,39.53,13.24
198.99,4.02,32.45,9.82
198.99,6.82,47.04,15.4
199,5.37,33.05,13.48
199,6.78,34.53,14.67
199,3.61,27.4,10.93
199,5.62,40.26,12.63
198.99,4.1,43.17,10.82
198.99,3.19,33.17,9.72
198.99,4.06,33.8,10.57
199,6.32,33.47,13.67
198.88,5.78,35.01,13.45
198.98,4.52,34.42,12.39
198.97,3.44,34.21,9.63
199,4.41,29.46,11.77
198.98,4.1,33.19,10.86
198.99,4.12,35.73,10.76
198.96,6.69,37.86,15.29
198.99,4.2,31.04,11.27
199,8.03,35.67,17.3
198.95,5.49,30.18,13.27
198.98,4.02,33.4,11.24
198.99,7.49,43.32,16.3
198.98,3.28,22.34,8.91
199,5.84,38.11,13.59
198.97,4.23,32.47,10.5
199,3.01,28.98,9.22
198.94,5.46,37.25,13.39
199,4.66,32.06,12.2
199,7.19,40.43,16.38
199,6.45,29.83,14.61
199,4,29.43,10.49
199,4.95,35.83,12.98
199,5.41,36.16,13.53
198.95,3.71,33.31,10.39
198.96,3.69,27.24,10.63
198.97,3.95,36.57,11.17
198.98,4.22,33.7,11.5
198.99,5.48,34.03,13.75
199,4.49,38.97,12.37
198.99,5.74,29.28,13.02
198.98,4.67,33.41,11.76
199,3.65,28.97,10.49
199,5.12,29.63,13.26
198.99,3.12,39.18,9.79
199,3.12,33.97,9.86
199,5.71,34.85,13.73
